,Link_Image,Name,Cand_Id,Cand_Office,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
4413,https://www.fec.gov/data/candidate/H0LA01087/?cycle=2020,"SCALISE, STEVE MR",H0LA01087,H,LA,1,REP,INCUMBENT,38160641.59,33728421.42,6217719.68,0,12/31/20,PO BOX 23219,,JEFFERSON,LA,70183,14583198.51,13009776.24,27592974.75,60950,0,0,27653924.75,10488061.38,0,0,0,18655.46,0,0,0,19210348,0,0,3520414.55,0,0,0,869358.87,0,9800,879158.87,10118500,26774765.88,19191692.54,1785499.51,0,1/1/19
1515,https://www.fec.gov/data/candidate/H6CA22125/?cycle=2020,"MCCARTHY, KEVIN",H6CA22125,H,CA,23,REP,INCUMBENT,28663630.1,25148569.55,4802132.73,77732.23,12/31/20,PO BOX 12667,,BAKERSFIELD,CA,933892667,7880663.7,13373107.44,21253771.14,1686635.02,0,0,22940406.16,5622873.5,0,0,0,44203.61,0,0,56146.83,20562252.33,0,0,1596.49,0,0,0,831782.73,0,7000,838782.73,3745938,22101623.43,20518048.72,1287072.18,0,1/1/19
1797,https://www.fec.gov/data/candidate/H8CA05035/?cycle=2020,"PELOSI, NANCY",H8CA05035,H,CA,12,DEM,INCUMBENT,27976365.38,22681809.86,6299373.34,0,12/31/20,,,SAN FRANCISCO,,,8841636.2,15471503.29,24313139.49,1874066.13,80.95,0,26187286.57,1769935,0,0,0,14955.25,0,0,4188.56,11184570.57,0,0,0,0,0,0,601301.7,0,600,601901.7,10895337.59,25585384.87,11169615.32,1004817.82,0,1/1/19
4579,https://www.fec.gov/data/candidate/H8CA20059/?cycle=2020,"NUNES, DEVIN G.",H8CA20059,H,CA,22,REP,INCUMBENT,26871171.4,20201844.61,10907954.28,0,12/31/20,PO BOX 6545,,VISALIA,CA,932906545,11537971.76,14037252.66,25575224.42,1014287.92,2500,0,26592012.34,273018.55,0,0,0,653.23,0,0,5487.28,19327519.01,0,0,277057,0,0,0,45098.6,0,0,45098.6,552170,26546913.74,19326865.78,4238627.49,0,1/1/19
3201,https://www.fec.gov/data/candidate/H8NY15148/?cycle=2020,"OCASIO-CORTEZ, ALEXANDRIA",H8NY15148,H,NY,14,DEM,INCUMBENT,21240308.71,17310936.07,4297382.94,0,12/31/20,PO BOX 680080,,CORONA,NY,11368,4240381.45,16434594.14,20674975.59,60690,0,0,20735665.59,103978.13,0,0,0,397564.98,0,0,3100.01,17104757.44,0,0,5000,0,0,0,177948.69,0,0,177948.69,23229.94,20557716.9,16707192.46,365236.59,0,1/1/19
4356,https://www.fec.gov/data/candidate/H0CA27085/?cycle=2020,"SCHIFF, ADAM",H0CA27085,H,CA,28,DEM,INCUMBENT,19598362.66,10404171.36,13908271.49,0,12/31/20,"777 S. FIGUEROA STREET, SUITE 4050",,LOS ANGELES,CA,90017,6153196.31,11427346.52,17580542.83,509394,0,0,18089936.83,1367606.87,0,0,0,24628.2,0,0,116190.76,8747037.83,0,0,778.25,0,0,0,190879.07,0,0,190879.07,1465476.21,17899057.76,8722409.63,4714580.2,0,1/1/19
2728,https://www.fec.gov/data/candidate/H8TX02166/?cycle=2020,"CRENSHAW, DANIEL",H8TX02166,H,TX,2,REP,INCUMBENT,19485631.71,17654095.49,1852714.69,0,12/31/20,PO BOX 430965,,HOUSTON,GA,772430965,7955316.37,9714421.95,17669738.32,868780,500,0,18539018.32,905174.73,0,0,0,7695.7,0,0,33742.96,16861509.31,0,0,250,0,0,0,49821.18,0,250,50071.18,742265,18488947.14,16853813.61,21178.47,0,1/1/19
3401,https://www.fec.gov/data/candidate/H6OH04082/?cycle=2020,"JORDAN, JAMES D.",H6OH04082,H,OH,4,REP,INCUMBENT,18637139.6,13268968.45,6113812.09,0,12/31/20,1709 SOUTH STATE ROUTE 560,,URBANA,OH,430789637,6351144.47,12122206.39,18473350.86,142547.5,0,0,18615898.36,0,0,0,0,12620.78,0,0,8620.46,12429334.03,0,0,180000,0,0,0,307196.19,0,3500,310696.19,348938.23,18305202.17,12416713.25,745640.94,0,1/1/19
3915,https://www.fec.gov/data/candidate/H8CA45130/?cycle=2020,"PORTER, KATHERINE",H8CA45130,H,CA,45,DEM,INCUMBENT,16901194.24,6717188.33,10267752.44,0,12/31/20,P.O. BOX 5176,,IRVINE,CA,92617,7117913.04,8647358.65,15765271.69,923134.44,5892.81,0,16694298.94,165984.09,0,0,0,7943.16,0,0,32968.05,6377318.22,0,0,0,0,0,0,257345.11,0,8200,265545.11,74325,16428753.83,6369375.06,83746.53,0,1/1/19
883,https://www.fec.gov/data/candidate/H4NY21079/?cycle=2020,"STEFANIK, ELISE M.",H4NY21079,H,NY,21,REP,INCUMBENT,13349928.94,11718616.84,1983540.82,0,12/31/20,PO BOX 500,,GLENS FALLS,NY,12801,4697346.51,6477360.79,11174707.3,1667056.01,225,0,12841988.31,505022.99,0,0,0,2917.64,0,0,0,11309383.26,0,0,5600,0,0,0,56763.58,0,3000,59763.58,343870,12782224.73,11306465.62,352228.72,0,1/1/19
